"Date","ES","NQ","RTY","IXT","ADBE","AMED","CMCSA","CRM","CSCO","DECK","FR","GNRC","GOOGL","HAE","IBM","INTC","JNJ","JPM","NVDA","PEP","POR","PYPL","TDOC","V"
2018-04-25,2644.5,6555.75,1555.1,650.8,217.320007,65.279999,33.04026,117.32,41.591228,91.510002,28.326996,45.84,1022.98999,76.690002,134.546021,49.230618,120.797691,104.673691,215.350372,95.781082,38.719513,74,40.650002,119.84832
2018-04-26,2674.5,6734.75,1564.2,663.2,221.910004,64.269997,32.143375,120.830002,42.066994,92.059998,28.919334,45.299999,1043.310059,78.32,135.265091,50.830765,121.988884,104.778374,223.858627,97.779083,39.289051,76.029999,42.099998,125.652374
2018-04-27,2671.5,6669.75,1558.9,661.9,221.899994,66.040001,30.677488,120.220001,42.542755,92.980003,28.995764,45.029999,1031.449951,79.010002,135.043869,50.524147,122.236664,104.112213,224.961945,96.311348,40.181339,74.129997,43,124.594398
2018-04-30,2647,6613,1543.8,657.9,221.600006,66.089996,30.27244,120.989998,42.143116,93.260002,29.721851,45.009998,1018.580017,78.040001,133.642532,49.460583,120.540375,103.522171,223.540558,95.58223,40.323719,74.610001,43,125.45462
2018-05-01,2652.25,6692,1552.9,665.8,224.080002,65.970001,30.918589,123.110001,42.65694,94.089996,29.44479,44.970001,1040.75,76.910004,133.679382,51.099045,120.082962,103.522171,225.767029,93.868301,40.219307,74.809998,42.700001,126.077545
2018-05-02,2627.5,6633.5,1552.5,664.8,221.100006,66.18,30.185644,122.82,41.733959,93.480003,29.549883,45.349998,1026.050049,78.07,131.328491,50.121716,117.691025,102.703743,224.942032,92.06916,39.944023,71.730003,45.450001,124.960236
2018-05-03,2631.75,6664.5,1551.1,666.3,226.050003,66.150002,29.90597,124.410004,42.285843,92.25,29.588099,44.939999,1026.300049,77.989998,130.904404,50.092968,117.243126,102.05661,231.58168,92.41951,40.314232,73.449997,41.700001,125.751236
2018-05-04,2663,6774.75,1566.8,678.9,228.509995,66.25,30.822144,125.120003,43.104156,93.339996,29.826942,46.029999,1051,79.93,132.674469,50.863926,118.348564,103.189087,237.614975,93.735733,40.589512,73.989998,42.200001,126.720253
2018-05-07,2670,6826,1581.4,683.7,230.990005,65.870003,31.236839,126.970001,43.513309,94.760002,30.658125,47.029999,1059.459961,78.029999,132.038361,51.393963,117.776787,104.083656,247.176819,93.016075,40.07692,74.669998,44.349998,127.807877
2018-05-08,2670.25,6820.5,1589.5,684.5,234.559998,71.010002,29.500921,128.75,43.494282,96.190002,30.667675,47.509998,1058.589966,82.550003,131.835556,51.683071,116.842873,105.625351,248.886414,91.652504,39.241596,75.720001,45.299999,128.440659
2018-05-09,2696,6896,1598.4,693.3,239.740005,71.32,29.635939,129.729996,43.808289,97.620003,30.686783,48.450001,1088.949951,82.559998,132.935486,52.367294,117.700554,107.928406,254.233902,91.055954,38.842903,77.010002,46.650002,129.370132
2018-05-10,2718.75,6965,1605.2,702.3,241.149994,71.860001,30.43639,130.619995,44.055687,97.599998,30.858751,48.66,1105.469971,85.910004,134.45491,52.984062,119.45401,108.765854,258.557587,92.107025,39.137169,79.190002,47,129.528336
2018-05-11,2729.5,6960,1609.5,701.7,241.880005,71.809998,30.764282,130.630005,43.703625,97.650002,30.53392,49.25,1103.380005,86.75,134.361694,52.685314,121.255104,108.356644,252.99147,92.258537,38.966312,79.199997,47.849998,130.339142
2018-05-14,2731,6974,1604.3,701.4,238.369995,71.629997,30.995739,127.690002,43.484764,98.940002,30.390614,48.639999,1106.599976,87.360001,134.510834,52.906963,120.1306,108.394707,253.816437,91.993401,38.710011,78.809998,48.5,129.735992
2018-05-15,2709,6890.5,1601.8,694.7,236.600006,71.889999,30.870365,128.130005,43.275433,99.110001,30.046682,48.549999,1084.869995,87.690002,133.988831,51.962543,119.244354,107.566742,244.075684,91.66198,38.501179,77.790001,49.049999,129.627228
2018-05-16,2723,6937.25,1619.1,697.6,237.389999,72.849998,31.39114,128.770004,42.97094,99.239998,29.89382,48.939999,1084.089966,89.040001,134.818466,52.656403,119.45401,107.861763,244.522964,92.031281,38.168945,77.82,49.450001,129.419586
2018-05-17,2718.75,6905.75,1626.6,694,236.850006,74.419998,31.256128,126.050003,41.353348,100.550003,29.788727,49.330002,1081.26001,89.57,134.697266,52.820229,118.024559,107.500145,246.212692,92.722527,37.646862,79.190002,48.700001,128.676804
2018-05-18,2713,6874,1626.9,691.4,238.089996,74.599998,31.555092,126.959999,41.115467,101.489998,29.798279,49.709999,1069.640015,88.910004,134.305771,51.557785,118.39621,105.758591,244.453384,92.33429,37.760773,80.790001,49.349998,128.676804
2018-05-21,2733,6915.75,1640.7,696.7,238.100006,73.949997,31.188618,126.370003,41.629288,104.639999,30.161324,50.400002,1084.01001,90.919998,135.620132,52.348022,117.900673,106.729294,242.763672,94.228134,38.017067,81.25,49.900002,129.399765
2018-05-22,2726,6909.25,1626.8,695.6,238.789993,73.209999,31.352566,125.440002,41.534142,102.290001,30.228205,50.119999,1075.310059,89.169998,135.247253,52.473301,117.128784,107.547714,241.232956,94.625839,38.415752,80.620003,49.599998,129.44928
2018-05-23,2730.75,6957,1629.5,700.7,243.910004,73.980003,30.744993,128.089996,41.562683,102.839996,30.658125,50.540001,1085.959961,90.769997,134.855743,53.205711,117.643372,107.052849,246.195877,95.11824,39.070728,81.080002,49.849998,130.608002
2018-05-24,2727.5,6957.25,1630.1,699.6,245.149994,74,30.503897,128.740005,41.458015,103.669998,30.677231,49.330002,1085.449951,90.379997,134.296448,52.762417,116.499809,105.853767,246.345062,94.862564,39.19413,81.550003,50.599998,130.617905
2018-05-25,2718.25,6960.25,1625.3,699.7,243.559998,74.599998,30.619625,127.959999,41.16304,107.339996,30.715448,49.040001,1084.079956,90.660004,133.895599,53.427361,116.615021,105.311317,247.926407,94.985672,39.744682,80.959999,50.700001,130.013763
2018-05-29,2692.25,6944.5,1625.2,695.1,242.190002,75.330002,30.388166,126.879997,40.887096,107.449997,30.830091,49.380001,1068.069946,90.230003,131.639786,53.311714,114.627754,100.809929,247.240189,95.733742,39.678242,80.730003,50.799999,128.439117
2018-05-30,2724.5,6987.25,1649.6,700.5,247.399994,76.860001,30.359236,129.300003,40.772919,110,31.46064,50.52,1077.469971,91.43,132.944809,53.658649,116.134995,103.112953,251.616302,96.424988,40.27626,81.599998,51.200001,129.379944
2018-05-31,2705.5,6977,1634.2,700.2,249.279999,76.349998,30.069918,129.330002,40.639698,113.160004,31.46064,50.09,1100,90.349998,131.723679,53.196075,114.838966,101.83773,250.820618,95.801918,40.494583,82.07,50.900002,129.459183
2018-06-01,2733.75,7083,1650.2,712.3,251.309998,76.629997,30.14707,130.520004,41.543652,115.110001,31.737701,50.439999,1135,91.010002,132.320251,55.007828,116.413422,103.160545,256.22113,95.801918,40.124378,83.25,50.799999,129.587936
2018-06-04,2745.5,7148.25,1654.5,717.7,253.339996,77.040001,30.176001,132.649994,41.467533,117.660004,32.167629,50.389999,1153.040039,94.199997,133.336304,54.766899,117.075829,103.208122,263.411865,95.677696,39.222607,84.57,51.900002,131.786514
2018-06-05,2751.5,7179.25,1666.1,720.9,252.699997,81.309998,29.973478,134.119995,41.553165,119.279999,32.062527,50.25,1151.02002,95.419998,133.951523,54.477791,116.624619,102.627602,263.630737,95.763695,38.928333,85.050003,53.799999,132.27179
2018-06-06,2772.25,7215,1678.3,724.5,253.949997,80.540001,31.121111,135.550003,42.114567,119.849998,31.966988,51.040001,1146.949951,95.68,134.893021,54.959644,117.882256,105.02581,263.710236,96.356194,38.140469,85.209999,54.299999,134.965561
2018-06-07,2772.25,7161,1670.2,718.4,247.509995,78.470001,30.860722,132.910004,41.534142,119.260002,31.995657,51.029999,1134.420044,92.790001,135.498932,53.851383,118.400688,105.444542,261.472473,96.671547,38.28286,83.269997,53,132.549088
2018-06-08,2778.75,7151.5,1671.1,718.4,251.210007,80.260002,30.937878,133.529999,41.372375,121.650002,32.024315,51.060001,1132.709961,94.040001,136.226013,53.051521,119.101494,105.739563,260.855835,97.942528,38.168945,84.339996,53.599998,133.440414
